X,Y,ObjectId,platnostod,platnostdo,tarifpa_t,streetname,datum_exportu,GlobalID
16.6134731,49.2017753000001,1,2019/02/04 00:00:00+00,2999/12/31 00:00:00+00,zóna B,NÁM. 28. ŘÍJNA,2023/12/22 00:00:00+00,{E3EDB24C-EE12-4D44-AB52-105873D30169}
16.6122431000001,49.1966867,2,2019/02/04 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ROOSEVELTOVA,2023/12/22 00:00:00+00,{42503312-D311-43FE-963F-9E0A5F39AD6E}
16.610825,49.2016042000001,3,2019/02/04 00:00:00+00,2999/12/31 00:00:00+00,zóna B,TŘÍDA KAPITÁNA JAROŠE,2023/12/22 00:00:00+00,{E06527C0-3E4F-449D-93EC-030DC393CE3E}
16.6122227000001,49.2024818,4,2019/02/04 00:00:00+00,2999/12/31 00:00:00+00,zóna B,NÁM. 28. ŘÍJNA,2023/12/22 00:00:00+00,{B0E38B03-C85C-45E9-B93D-161FB36C050A}
16.5978335,49.1996766,5,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,OBILNÍ TRH,2023/12/22 00:00:00+00,{9BEF1786-1261-4A1B-B9AD-DD0CBA184B57}
16.5982705000001,49.1981259,6,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,OBILNÍ TRH,2023/12/22 00:00:00+00,{74FD9CC9-A039-41A0-AD85-33A10FEABBE2}
16.6012173,49.1968056000001,7,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ÚDOLNÍ,2023/12/22 00:00:00+00,{F49DAEF6-8251-4962-A618-3921A7EA4952}
16.6000694000001,49.2027360000001,8,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ZÁVODNÍ,2023/12/22 00:00:00+00,{C3B2F502-3351-4AC3-86B8-A1F0B0017AD2}
16.5997350000001,49.2013886,9,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,PEKÁRENSKÁ,2023/12/22 00:00:00+00,{473CA7A4-1E8A-4EB0-9EB0-B796213BEB32}
16.5953469,49.2043164,10,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,JIRÁSKOVA,2023/12/22 00:00:00+00,{29046C7C-2121-4E7A-97D2-3C8D2B7B4E16}
16.5945144,49.2003957000001,11,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ČÁPKOVA,2023/12/22 00:00:00+00,{8B96602B-65DB-41B5-8DE8-AFDD55E32F9C}
16.595133,49.1992951,12,2019/02/01 00:00:00+00,2999/12/31 00:00:00+00,zóna B,GORKÉHO,2023/12/22 00:00:00+00,{78548CA4-BDFE-4F31-9356-166F31FA1EE6}
16.6066578000001,49.1980603000001,13,2019/02/04 00:00:00+00,2999/12/31 00:00:00+00,zóna B,MORAVSKÉ NÁMĚSTÍ,2023/12/22 00:00:00+00,{1AC34481-FA61-4B4D-982A-5060FAD0244F}
16.6077616000001,49.199893,14,2019/02/04 00:00:00+00,2999/12/31 00:00:00+00,zóna B,MORAVSKÉ NÁMĚSTÍ,2023/12/22 00:00:00+00,{D42F918D-4987-4E6E-A820-1C2D6C3BE3B1}
16.6046864,49.1956566000001,15,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BESEDNÍ,2023/12/22 00:00:00+00,{922A7CBF-0848-4AB4-A9CF-6EC5D401F43D}
16.6151796,49.1960582,16,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,MALINOVSKÉHO NÁMĚSTÍ,2023/12/22 00:00:00+00,{9D8B25A1-AE50-4654-BEB7-4452B97CF14D}
16.6092476000001,49.1983793000001,17,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ROOSEVELTOVA,2023/12/22 00:00:00+00,{CBB07BAE-65F5-4804-8821-738836E11132}
16.6109533000001,49.1976746,18,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ROOSEVELTOVA,2023/12/22 00:00:00+00,{714F854D-F87A-492A-8382-9BA16AFE995F}
16.6138251,49.1962709000001,19,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ZA DIVADLEM,2023/12/22 00:00:00+00,{3EE3102A-2671-4AC4-B6A9-98405267EB14}
16.6130670000001,49.1971154,20,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ZA DIVADLEM,2023/12/22 00:00:00+00,{5716C1D4-ABDE-4F6B-B74F-302AE34B6E68}
16.6142905,49.1937730000001,21,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BENEŠOVA,2023/12/22 00:00:00+00,{10936439-B432-4B4B-86E0-8043A0FBDEE5}
16.6140111,49.1938996000001,22,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BENEŠOVA,2023/12/22 00:00:00+00,{5E190179-BC5E-4AF6-BC9D-CD5996501144}
16.6136108000001,49.1932052000001,23,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BENEŠOVA,2023/12/22 00:00:00+00,{32E75A8B-8EFB-4DF8-B55E-F9124BD0826C}
16.6128852000001,49.1919134,24,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BENEŠOVA,2023/12/22 00:00:00+00,{1AD1E954-31BE-4018-916F-938E414FDF6B}
16.6149554,49.1950476000001,25,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BENEŠOVA,2023/12/22 00:00:00+00,{51637213-9395-46A7-9128-377D2638B719}
16.6121116,49.2039494000001,26,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,NÁM. 28. ŘÍJNA,2023/12/22 00:00:00+00,{AD0D589C-7368-4EB8-944C-A883000336D3}
16.6107355,49.2004769000001,27,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,TŘÍDA KAPITÁNA JAROŠE,2023/12/22 00:00:00+00,{59961E79-2318-4800-AAEB-E61A87DFACF1}
16.6112003000001,49.2004751000001,28,2019/02/06 00:00:00+00,2999/12/31 00:00:00+00,zóna B,TŘÍDA KAPITÁNA JAROŠE,2023/12/22 00:00:00+00,{885A8E60-529E-4F9B-8730-29CC95EEF664}
16.6106544,49.203115,29,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,TŘÍDA KAPITÁNA JAROŠE,2023/12/22 00:00:00+00,{F5AD0430-00A8-46FA-8641-34AC289D1CD2}
16.6084817,49.2045023000001,30,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,LUŽÁNECKÁ,2023/12/22 00:00:00+00,{54C1C829-CEC4-4D81-A17C-F98097A45416}
16.6070256,49.2036155000001,31,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,LIDICKÁ,2023/12/22 00:00:00+00,{F5D8E7C7-4AED-41F7-8616-C554299F6C01}
16.6077438,49.2011427,32,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,LIDICKÁ,2023/12/22 00:00:00+00,{4F997C11-38B3-464D-AC85-83C9E9C6F8AB}
16.6005795,49.2059542000001,33,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,SUŠILOVA,2023/12/22 00:00:00+00,{09550417-D1E0-4CBC-92F0-5820AC2DB00F}
16.6051567000001,49.2058346000001,34,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BUREŠOVA,2023/12/22 00:00:00+00,{F34EE674-5348-43CE-8678-082E9824DDCF}
16.6007749,49.2043368000001,35,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,SOKOLSKÁ,2023/12/22 00:00:00+00,{3C2D6F0E-0D9F-4814-B4D8-BF2844F063BE}
16.6033547000001,49.2037747000001,36,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BOTANICKÁ,2023/12/22 00:00:00+00,{47CECA6B-8115-485E-AF59-01198382CA8B}
16.604297,49.2027697,37,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BOTANICKÁ,2023/12/22 00:00:00+00,{2A427D7E-023D-47E5-A6FF-5E31437142A4}
16.5996335,49.2054830000001,38,2019/02/07 00:00:00+00,2999/12/31 00:00:00+00,zóna B,TUČKOVA,2023/12/22 00:00:00+00,{E0814097-5F93-4126-9888-4058490B699A}
16.6027287000001,49.1981271000001,39,2019/02/08 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ŽEROTÍNOVO NÁMĚSTÍ,2023/12/22 00:00:00+00,{AD559752-6532-44FF-B392-5DEA30C13D4E}
16.6046768,49.1996289000001,40,2019/02/08 00:00:00+00,2999/12/31 00:00:00+00,zóna B,KOUNICOVA,2023/12/22 00:00:00+00,{2E79213F-7AC1-4C2F-B5BC-D199AC4D7CF0}
16.6035528,49.2003106000001,41,2019/02/08 00:00:00+00,2999/12/31 00:00:00+00,zóna B,KOUNICOVA,2023/12/22 00:00:00+00,{B0086CFA-14D2-4D4E-AD8F-C10BC336FC1C}
16.6047208000001,49.1999461,42,2019/02/08 00:00:00+00,2999/12/31 00:00:00+00,zóna B,KOUNICOVA,2023/12/22 00:00:00+00,{0CB6783B-824A-4A76-904E-B2D9D661C04A}
16.6038309,49.2006076000001,43,2019/02/08 00:00:00+00,2999/12/31 00:00:00+00,zóna B,JANÁČKOVO NÁMĚSTÍ,2023/12/22 00:00:00+00,{5EACE87F-9963-4148-B6B1-176056AE8F2D}
16.6070371000001,49.2025877,44,2019/02/08 00:00:00+00,2999/12/31 00:00:00+00,zóna B,LIDICKÁ,2023/12/22 00:00:00+00,{C7CD86F5-0745-41A5-98A7-11DED28DD16E}
16.6062101000001,49.2027560000001,45,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ANTONÍNSKÁ,2023/12/22 00:00:00+00,{26D3088A-5C8E-46FE-AB33-A170B5B9CD02}
16.6008646,49.2002292000001,46,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,GORKÉHO,2023/12/22 00:00:00+00,{CE6D141D-85C5-4DBE-86FF-860CD01CE759}
16.5941498,49.2031426,47,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,ČÁPKOVA,2023/12/22 00:00:00+00,{A6CA3752-A574-4106-A5AB-D1C9187B09E2}
16.5976913000001,49.2026059,48,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,JANA UHRA,2023/12/22 00:00:00+00,{89DB2746-1401-421B-8C84-C9CB3E51B7EE}
16.5963094000001,49.2006891,49,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,GROHOVA,2023/12/22 00:00:00+00,{45A6DEC5-2C50-4880-A282-C70B53C3C5D7}
16.5983902,49.2009818000001,50,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,GROHOVA,2023/12/22 00:00:00+00,{7CCA5635-39D1-4F49-85C5-38997CEB6566}
16.6005529,49.1989279000001,51,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,JASELSKÁ,2023/12/22 00:00:00+00,{B2FD922B-3C75-43F8-AC90-423E81B99171}
16.6012727,49.2012106000001,52,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,SMETANOVA,2023/12/22 00:00:00+00,{A4B1D1DE-7279-489D-A677-11FC66CEF571}
16.6026862000001,49.2006945000001,53,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,SLOVÁKOVA,2023/12/22 00:00:00+00,{02F62841-5DBB-4363-AD4F-400D698DE98D}
16.5983939000001,49.2048380000001,54,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,SUŠILOVA,2023/12/22 00:00:00+00,{978C8DB6-FC25-4FB4-B7E0-0960965F687E}
16.6028693000001,49.2053064,55,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,BAYEROVA,2023/12/22 00:00:00+00,{8101719C-C089-45F5-863B-185EC71FD960}
16.604406,49.2041130000001,56,2019/02/11 00:00:00+00,2999/12/31 00:00:00+00,zóna B,CIHLÁŘSKÁ,2023/12/22 00:00:00+00,{3A11CEDE-36B3-415A-BDE8-07C21EDBA12D}
