# Data,Probability
3.454289655963099087e-03,0.000000000000000000e+00
3.561293139990426900e-03,4.001600640256102706e-04
4.032244170729362871e-03,8.003201280512205413e-04
4.702304152241806867e-03,1.200480192076830649e-03
5.786762020929695459e-03,1.600640256102441083e-03
6.598960532424800497e-03,2.000800320128051299e-03
7.206215096390666472e-03,2.400960384153661299e-03
7.771060532191801686e-03,2.801120448179271732e-03
7.825700929302003075e-03,3.201280512204882165e-03
8.341915263278942144e-03,3.601440576230492165e-03
9.549967770927762084e-03,4.001600640256102598e-03
1.014801391726509634e-02,4.401760704281713031e-03
1.023343522642741234e-02,4.801920768307322597e-03
1.041965703845334525e-02,5.202080832332933030e-03
1.072646741589756807e-02,5.602240896358543464e-03
1.104485450551535679e-02,6.002400960384153897e-03
1.140264793472826367e-02,6.402561024409764330e-03
1.189532464543580428e-02,6.802721088435373896e-03
1.208682725100860070e-02,7.202881152460984329e-03
1.265702121793200324e-02,7.603041216486594762e-03
1.295506419072417134e-02,8.003201280512205196e-03
1.339817669110075424e-02,8.403361344537814762e-03
1.388699074406789941e-02,8.803521408563426062e-03
1.428145085426584492e-02,9.203681472589035628e-03
1.430062165903471516e-02,9.603841536614645194e-03
1.444461720242366624e-02,1.000400160064025649e-02
1.470310438661211541e-02,1.040416166466586606e-02
1.472248790597672531e-02,1.080432172869147736e-02
1.494920169513306966e-02,1.120448179271708693e-02
1.530347791315335090e-02,1.160464185674269649e-02
1.562714927739652926e-02,1.200480192076830779e-02
1.565234894029597298e-02,1.240496198479391736e-02
1.581846441325526070e-02,1.280512204881952866e-02
1.600370729394639743e-02,1.320528211284513823e-02
1.604299439299994995e-02,1.360544217687074779e-02
1.641444758257821698e-02,1.400560224089635909e-02
1.686581006127017834e-02,1.440576230492196866e-02
1.691684123877438412e-02,1.480592236894757822e-02
1.698029152974853129e-02,1.520608243297318952e-02
1.702170218650270184e-02,1.560624249699879909e-02
1.710225841421764148e-02,1.600640256102441039e-02
1.716063578499962133e-02,1.640656262505002169e-02
1.728814892377287735e-02,1.680672268907562952e-02
1.758815241181589314e-02,1.720688275310124082e-02
1.768802714735776341e-02,1.760704281712685212e-02
1.773080451935171373e-02,1.800720288115245996e-02
1.824631239304510058e-02,1.840736294517807126e-02
1.838686071215677245e-02,1.880752300920368256e-02
1.875219146418519514e-02,1.920768307322929039e-02
1.893062660600761463e-02,1.960784313725490169e-02
1.913754765612725797e-02,2.000800320128051299e-02
1.937305781703846028e-02,2.040816326530612082e-02
1.937720809442196324e-02,2.080832332933173212e-02
1.945468988821064116e-02,2.120848339335734342e-02
1.957353925269319020e-02,2.160864345738295472e-02
1.980786219060256745e-02,2.200880352140856255e-02
1.990043204902861365e-02,2.240896358543417385e-02
1.993140140666932111e-02,2.280912364945978515e-02
2.031910690673940229e-02,2.320928371348539299e-02
2.042986244018324751e-02,2.360944377751100429e-02
2.047808168117053532e-02,2.400960384153661559e-02
2.049460341444073186e-02,2.440976390556222342e-02
2.058388622673659393e-02,2.480992396958783472e-02
2.068336883715002697e-02,2.521008403361344602e-02
2.076066086475300901e-02,2.561024409763905732e-02
2.104261632178401273e-02,2.601040416166466515e-02
