# Data,Probability
5.799012937035477079e-03,0.000000000000000000e+00
6.689719641607296159e-03,4.001600640256102706e-04
8.666943833753219112e-03,8.003201280512205413e-04
1.061178834817246529e-02,1.200480192076830649e-03
1.153286599796663967e-02,1.600640256102441083e-03
1.171093632811887920e-02,2.000800320128051299e-03
1.308642357516774310e-02,2.400960384153661299e-03
1.397345448033752296e-02,2.801120448179271732e-03
1.423154772747390814e-02,3.201280512204882165e-03
1.444238569538816748e-02,3.601440576230492165e-03
1.488448906913207755e-02,4.001600640256102598e-03
1.510137028271034063e-02,4.401760704281713031e-03
1.515534009421781389e-02,4.801920768307322597e-03
1.536723726002414865e-02,5.202080832332933030e-03
1.573296590567331912e-02,5.602240896358543464e-03
1.677663998130332276e-02,6.002400960384153897e-03
1.712858029183597294e-02,6.402561024409764330e-03
1.765030654131455670e-02,6.802721088435373896e-03
1.797294568879861248e-02,7.202881152460984329e-03
1.826240256853834884e-02,7.603041216486594762e-03
1.831358941302307572e-02,8.003201280512205196e-03
1.961234504562267209e-02,8.403361344537814762e-03
2.021745673699421042e-02,8.803521408563426062e-03
2.039721756964688396e-02,9.203681472589035628e-03
2.127034248329684463e-02,9.603841536614645194e-03
2.149079378270179683e-02,1.000400160064025649e-02
2.153523974972345115e-02,1.040416166466586606e-02
2.165545148360364588e-02,1.080432172869147736e-02
2.240007775175400020e-02,1.120448179271708693e-02
2.271099228147991853e-02,1.160464185674269649e-02
2.301438501291785260e-02,1.200480192076830779e-02
2.316561317691564689e-02,1.240496198479391736e-02
2.338054644086713652e-02,1.280512204881952866e-02
2.364648213513826855e-02,1.320528211284513823e-02
2.407365095209598391e-02,1.360544217687074779e-02
2.415658986308760400e-02,1.400560224089635909e-02
2.415852411143034825e-02,1.440576230492196866e-02
2.469199014545793089e-02,1.480592236894757822e-02
2.478796331909167983e-02,1.520608243297318952e-02
2.526964825515572166e-02,1.560624249699879909e-02
2.543665287813085332e-02,1.600640256102441039e-02
2.580061854241508940e-02,1.640656262505002169e-02
2.583787521674727264e-02,1.680672268907562952e-02
2.691834789705329842e-02,1.720688275310124082e-02
2.707516729172085301e-02,1.760704281712685212e-02
2.724231600073408893e-02,1.800720288115245996e-02
2.725079699664999244e-02,1.840736294517807126e-02
2.807627549324828720e-02,1.880752300920368256e-02
2.832046155180423588e-02,1.920768307322929039e-02
2.838842614038556561e-02,1.960784313725490169e-02
2.847890618865916296e-02,2.000800320128051299e-02
2.871064242709919431e-02,2.040816326530612082e-02
2.880575752755528199e-02,2.080832332933173212e-02
2.886619992263883203e-02,2.120848339335734342e-02
2.926041650230060479e-02,2.160864345738295472e-02
2.948774791308465468e-02,2.200880352140856255e-02
2.986766661961335820e-02,2.240896358543417385e-02
2.991857936604064294e-02,2.280912364945978515e-02
3.017378495428758856e-02,2.320928371348539299e-02
3.063741839465348310e-02,2.360944377751100429e-02
3.101015942556939811e-02,2.400960384153661559e-02
3.120496162037683305e-02,2.440976390556222342e-02
3.136349791427290451e-02,2.480992396958783472e-02
3.136846960780457355e-02,2.521008403361344602e-02
3.158094474175586475e-02,2.561024409763905732e-02
3.183051494284255822e-02,2.601040416166466515e-02
3.203107892380531452e-02,2.641056422569027645e-02
3.207266306838109371e-02,2.681072428971588775e-02
3.208800485592946256e-02,2.721088435374149558e-02
3.273570083994423868e-02,2.761104441776710688e-02
3.298112320774349016e-02,2.801120448179271819e-02
3.298471015503896819e-02,2.841136454581832602e-02
3.302480923657530321e-02,2.881152460984393732e-02
3.311450430267987022e-02,2.921168467386954862e-02
3.335908898617963997e-02,2.961184473789515645e-02
3.374511429629102610e-02,3.001200480192076775e-02
3.376079848476981615e-02,3.041216486594637905e-02
3.378626221075589631e-02,3.081232492997199035e-02
3.379666708327349472e-02,3.121248499399759818e-02
3.403441496418267015e-02,3.161264505802320601e-02
3.422443892031600682e-02,3.201280512204882078e-02
3.423651099526345970e-02,3.241296518607442861e-02
3.435730397375112016e-02,3.281312525010004338e-02
3.451837933440819045e-02,3.321328531412565122e-02
3.453920063326679918e-02,3.361344537815125905e-02
3.458708275354054756e-02,3.401360544217687382e-02
3.459667034655473927e-02,3.441376550620248165e-02
3.497381052642174054e-02,3.481392557022808948e-02
3.518382954135721580e-02,3.521408563425370425e-02
3.543499726854758280e-02,3.561424569827931208e-02
3.557388401264895139e-02,3.601440576230491991e-02
3.559926095732236090e-02,3.641456582633053468e-02
3.574695712245004597e-02,3.681472589035614251e-02
3.616791566545514425e-02,3.721488595438175034e-02
3.635081739935590306e-02,3.761504601840736511e-02
3.689096648110391091e-02,3.801520608243297294e-02
3.695286607842535737e-02,3.841536614645858078e-02
3.713808671410465112e-02,3.881552621048419555e-02
3.716916568207823124e-02,3.921568627450980338e-02
3.722540524038196741e-02,3.961584633853541121e-02
3.724752889975632003e-02,4.001600640256102598e-02
3.729187717416337228e-02,4.041616646658663381e-02
3.756202719078047259e-02,4.081632653061224164e-02
3.773347838073342481e-02,4.121648659463785641e-02
3.773926052213014831e-02,4.161664665866346424e-02
3.801079985766073893e-02,4.201680672268907901e-02
3.864226955415923925e-02,4.241696678671468684e-02
3.886556695312048254e-02,4.281712685074029467e-02
3.926881456278224353e-02,4.321728691476590944e-02
3.976613426116524380e-02,4.361744697879151728e-02
4.010537846799693690e-02,4.401760704281712511e-02
4.018135924260175795e-02,4.441776710684273988e-02
4.025709358662083598e-02,4.481792717086834771e-02
4.032007480780083059e-02,4.521808723489395554e-02
4.047534870733728724e-02,4.561824729891957031e-02
4.058005791722952421e-02,4.601840736294517814e-02
4.074663258664561194e-02,4.641856742697078597e-02
4.091262148049112923e-02,4.681872749099640074e-02
4.099250873003393303e-02,4.721888755502200857e-02
4.123737625590661454e-02,4.761904761904761640e-02
4.130063850209014786e-02,4.801920768307323117e-02
4.154653177570064027e-02,4.841936774709883901e-02
4.156516124850025140e-02,4.881952781112444684e-02
4.158765458007753629e-02,4.921968787515006161e-02
4.176100561956270357e-02,4.961984793917566944e-02
4.195341772862229424e-02,5.002000800320127727e-02
4.224585638733652920e-02,5.042016806722689204e-02
4.227214806934390112e-02,5.082032813125249987e-02
4.243937509626968807e-02,5.122048819527811464e-02
4.250185025446215348e-02,5.162064825930372247e-02
4.256151075682350349e-02,5.202080832332933030e-02
4.306189549848604692e-02,5.242096838735494507e-02
4.334152836574582668e-02,5.282112845138055290e-02
4.334403977098923860e-02,5.322128851540616074e-02
4.378454216054816078e-02,5.362144857943177551e-02
4.421674344162468406e-02,5.402160864345738334e-02
4.426313249180675174e-02,5.442176870748299117e-02
4.434273462909887192e-02,5.482192877150860594e-02
4.458309426775988044e-02,5.522208883553421377e-02
4.476384801193972196e-02,5.562224889955982160e-02
4.477477690624445672e-02,5.602240896358543637e-02
4.490509938072264479e-02,5.642256902761104420e-02
4.511511661456266836e-02,5.682272909163665203e-02
4.521756641740746346e-02,5.722288915566226680e-02
4.523426591176888528e-02,5.762304921968787463e-02
4.532377671773854533e-02,5.802320928371348246e-02
4.534142096142586287e-02,5.842336934773909723e-02
4.543799272489501551e-02,5.882352941176470507e-02
4.574470418135594824e-02,5.922368947579031290e-02
4.579339535504459852e-02,5.962384953981592767e-02
4.579455701972804521e-02,6.002400960384153550e-02
4.591775796864903253e-02,6.042416966786715027e-02
4.599883038608378050e-02,6.082432973189275810e-02
4.602876040269392871e-02,6.122448979591836593e-02
4.619791703997955246e-02,6.162464985994398070e-02
4.668127513291785852e-02,6.202480992396958853e-02
4.675972545670534913e-02,6.242496998799519636e-02
4.682009274571063279e-02,6.282513005202081113e-02
4.684741815365366796e-02,6.322529011604641203e-02
4.685766328579864248e-02,6.362545018007202680e-02
4.697039084498884354e-02,6.402561024409764157e-02
4.704551269729542740e-02,6.442577030812324246e-02
4.706562797191252839e-02,6.482593037214885723e-02
4.707951639363907453e-02,6.522609043617447200e-02
4.708647839816842984e-02,6.562625050020008677e-02
4.722469201914929193e-02,6.602641056422568766e-02
4.750588538587081217e-02,6.642657062825130243e-02
4.759241632987172566e-02,6.682673069227691720e-02
4.768564362558858766e-02,6.722689075630251809e-02
4.783246338840344003e-02,6.762705082032813286e-02
4.797530884719354571e-02,6.802721088435374763e-02
4.798488979355971379e-02,6.842737094837934853e-02
4.806840747936294567e-02,6.882753101240496330e-02
4.819888011602673633e-02,6.922769107643057807e-02
4.822521134023839001e-02,6.962785114045617896e-02
4.833601199497153389e-02,7.002801120448179373e-02
4.836348938045364337e-02,7.042817126850740850e-02
4.837918652755732185e-02,7.082833133253300939e-02
4.854521270824085216e-02,7.122849139655862416e-02
4.862122373705396461e-02,7.162865146058423893e-02
4.881070184484661428e-02,7.202881152460983982e-02
4.912093881353637309e-02,7.242897158863545459e-02
4.919263640222522327e-02,7.282913165266106936e-02
4.931966945457022522e-02,7.322929171668667025e-02
4.977078845244881783e-02,7.362945178071228503e-02
4.986936171836135745e-02,7.402961184473789980e-02
5.000638673588874566e-02,7.442977190876350069e-02
5.005269648761842549e-02,7.482993197278911546e-02
5.114055138024768687e-02,7.523009203681473023e-02
5.115854133205137433e-02,7.563025210084033112e-02
5.136109177282673771e-02,7.603041216486594589e-02
5.145314278119409584e-02,7.643057222889156066e-02
5.151463818745645462e-02,7.683073229291716155e-02
5.166421773939391254e-02,7.723089235694277632e-02
5.173038294275732196e-02,7.763105242096839109e-02
5.185694142953157365e-02,7.803121248499399198e-02
5.255037198228782597e-02,7.843137254901960675e-02
5.264985707914451862e-02,7.883153261304522152e-02
5.271266217738230370e-02,7.923169267707082242e-02
5.312741844939274094e-02,7.963185274109643719e-02
5.324014113660430203e-02,8.003201280512205196e-02
5.424058287986714688e-02,8.043217286914765285e-02
5.437406029634875987e-02,8.083233293317326762e-02
5.453198354904754963e-02,8.123249299719888239e-02
5.483335817310112936e-02,8.163265306122448328e-02
5.510933911224829423e-02,8.203281312525009805e-02
5.521635353803815843e-02,8.243297318927571282e-02
5.533624491842694532e-02,8.283313325330131371e-02
5.533629899683129016e-02,8.323329331732692848e-02
5.549710247941901098e-02,8.363345338135254325e-02
5.558684217270182248e-02,8.403361344537815802e-02
5.585637846312952598e-02,8.443377350940375892e-02
5.588315188685481771e-02,8.483393357342937369e-02
5.589960940711580228e-02,8.523409363745498846e-02
5.600191654146399745e-02,8.563425370148058935e-02
5.604850631659072380e-02,8.603441376550620412e-02
5.610770244641449106e-02,8.643457382953181889e-02
5.611516011237435014e-02,8.683473389355741978e-02
5.645666732672754984e-02,8.723489395758303455e-02
5.666507269826456805e-02,8.763505402160864932e-02
5.670819092717880455e-02,8.803521408563425021e-02
5.681642557592148091e-02,8.843537414965986498e-02
5.684931138324260391e-02,8.883553421368547975e-02
5.700946399356614930e-02,8.923569427771108065e-02
5.704803207388658981e-02,8.963585434173669542e-02
5.714056677906313719e-02,9.003601440576231019e-02
5.723903006061554360e-02,9.043617446978791108e-02
5.727923482994058679e-02,9.083633453381352585e-02
5.730499053103342566e-02,9.123649459783914062e-02
5.738851169474526448e-02,9.163665466186474151e-02
5.751004102014427299e-02,9.203681472589035628e-02
5.764648879732397341e-02,9.243697478991597105e-02
5.781724545258085102e-02,9.283713485394157194e-02
5.802322311154786000e-02,9.323729491796718671e-02
5.807578711595710180e-02,9.363745498199280148e-02
5.817427700214012481e-02,9.403761504601840238e-02
5.821206538480862974e-02,9.443777511004401715e-02
5.826657387449492298e-02,9.483793517406963192e-02
